93.159.228.19	www.kaspersky.ru
5.79.96.89	www.kaspersky.ua
178.248.232.183	www.drweb.ru
217.69.139.199	mail.Ru
217.69.139.70	www.mail.ru
87.240.165.82	www.vk.com
217.20.155.58	www.ok.ru
77.88.55.77	yandex.ru
104.17.68.104	yandex.ua
87.250.251.198	avia.yandex.ru
87.250.251.198	avia.yandex.ua
213.180.204.188	auto.ru
213.180.204.207	audience.yandex.ru
213.180.204.207	audience.yandex.ua
213.180.193.71	afisha.yandex.ru
213.180.193.71	afisha.yandex.ua
109.235.165.142	money.yandex.ru
93.158.134.62	webmaster.yandex.ru
213.180.204.26	direct.yandex.ru
213.180.204.26	direct.yandex.ua
213.180.193.50	disk.yandex.ru
213.180.193.50	disk.yandex.ua
213.180.193.215	delivery.yandex.ru
77.88.55.77	yandex.ru
104.17.68.104	yandex.ua
213.180.193.112	calendar.yandex.ru
185.71.78.17	kassa.yandex.ru
87.250.251.105	kinopoisk.ru
87.250.250.22	market.yandex.ru
87.250.250.22	market.yandex.ua
93.158.134.28	metrika.yandex.ru
93.158.134.28	metrika.yandex.ua
213.180.193.137	metro.yandex.ru
213.180.193.137	metro.yandex.ua
213.180.204.186	music.yandex.ua
93.158.134.100	n.maps.yandex.ru
213.180.204.41	realty.yandex.ru
213.180.193.12	news.yandex.ru
213.180.193.12	news.yandex.ua
213.180.204.193	translate.yandex.ru
213.180.204.193	translate.yandex.ua
77.88.55.77	yandex.ru
213.180.193.62	site.yandex.ua
87.250.250.125	mail.yandex.ua
213.180.193.58	pdd.yandex.ru
213.180.204.41	travel.yandex.ru
213.180.204.41	rabota.yandex.ru
213.180.204.41	rabota.yandex.ua
77.88.21.186	radio.yandex.ua
213.180.204.73	rasp.yandex.ru
213.180.204.73	rasp.yandex.ua
87.250.250.28	partner2.yandex.ru
213.180.204.28	partner.yandex.ua
87.250.251.41	stat.yandex.ua
5.45.217.5	taxi.yandex.ru
93.158.134.154	tv.yandex.ru
93.158.134.154	tv.yandex.ua
87.250.250.22	telephony.yandex.ru
87.250.250.218	tech.yandex.ru
213.180.204.178	fotki.yandex.ru
77.88.8.8	dns.yandex.ru
77.88.8.8	dns.yandex.ua
87.250.250.237	browser.yandex.ru
87.250.250.237	browser.yandex.ua
87.250.250.226	speechkit.yandex.ru
213.180.204.56	xml.yandex.ru
213.180.204.56	xml.yandex.ua
52.50.157.108	yandexdatafactory.com
213.180.193.206	zno.yandex.ua
213.180.204.24	passport.yandex.ua
87.250.250.242	ya.ru
